Магазин 1
2
Товар_1_1 | 1 | 2 | 1000
Товар_1_2 | 2 | 3 | 1900

Магазин 2
3
Товар_2_1 | 1 | 4 | 1009
Товар_2_2 | 2 | 5 | 1500
Товар_2_3 | 3 | 2 | 2000

Магазин 3
1
Товар_3_1 | 1 | 7 | 3000

2022-06-17 08:02:45.508097 | data
2022-06-17 08:02:45.511995 | data
2022-06-17 12:16:58.825641 | data
2022-06-17 12:16:58.825641 | data
2022-06-17 12:17:08.695051 | data
2022-06-17 12:17:08.697431 | data
2022-06-17 12:17:20.987545 | data
2022-06-17 12:17:20.990512 | data
2022-06-17 12:18:19.093803 | data
2022-06-17 12:18:19.097794 | data
2022-06-17 12:19:15.434642 | data
2022-06-17 12:19:15.440627 | data
2022-06-17 12:19:23.261703 | data
2022-06-17 12:19:23.264790 | data
2022-06-17 12:19:43.166974 | data
2022-06-17 12:19:43.171961 | data
